年度,リーグ,部門,順位,選手名,チーム名,数値,単位,選手ID
2023,単一リーグ,ポイント賞,1,黙示録@SMY会,さわやかMJ野郎の会,328.4,pt,P0316
2023,単一リーグ,ポイント賞,2,HAGI,TEAMS Rabbit_Yohan,228.4,pt,P0028
2023,単一リーグ,ポイント賞,3,アスラン,クレイジーダイヤモンド,226.7,pt,P0068
2023,単一リーグ,ラス回避率賞,1,HAGI,TEAMS Rabbit_Yohan,100,%,P0028
2023,単一リーグ,ラス回避率賞,2,海賊王,さわやかMJ野郎の会,100,%,P0238
2023,単一リーグ,ラス回避率賞,3,きさささ,たちこまーず,100,%,P0094
2023,単一リーグ,最多勝利賞,1,アスラン,クレイジーダイヤモンド,6,勝,P0068
2023,単一リーグ,最多勝利賞,2,黙示録@SMY会,さわやかMJ野郎の会,5,勝,P0316
2023,単一リーグ,最多勝利賞,3,全速ゆーへい,星の砂 Stardust Collectors,5,勝,P0291
2023,単一リーグ,最高得点賞,1,松崎真也＠協会,SILVER WOLVES,85100,点,P0276
2023,単一リーグ,最高得点賞,2,HAGI,TEAMS Rabbit_Yohan,69600,点,P0028
2023,単一リーグ,最高得点賞,3,アスラン,クレイジーダイヤモンド,69100,点,P0068
2023,単一リーグ,トップ率賞,1,黙示録@SMY会,さわやかMJ野郎の会,62.5,%,P0316
2023,単一リーグ,トップ率賞,2,全速ゆーへい,星の砂 Stardust Collectors,50,%,P0291
2023,単一リーグ,トップ率賞,3,マリア-style,レッドリボン軍,50,%,P0189
2024,単一リーグ,ポイント賞,1,クピドの悪戯,クレイジーダイヤモンド,374.8,pt,P0099
2024,単一リーグ,ポイント賞,2,溝渕智也,Team MJ lovers,329.5,pt,P0259
2024,単一リーグ,ポイント賞,3,K☆O☆U,星の砂_StardustCollectors,275.4,pt,P0035
2024,単一リーグ,ラス回避率賞,1,溝渕智也,Team MJ lovers,100,%,P0259
2024,単一リーグ,ラス回避率賞,2,K☆O☆U,星の砂_StardustCollectors,100,%,P0035
2024,単一リーグ,ラス回避率賞,3,ysk,Team MJ lovers,100,%,P0065
2024,単一リーグ,最多勝利賞,1,溝渕智也,Team MJ lovers,6,勝,P0259
2024,単一リーグ,最多勝利賞,2,クピドの悪戯,クレイジーダイヤモンド,6,勝,P0099
2024,単一リーグ,最多勝利賞,3,太郎,クレイジーダイヤモンド,6,勝,P0294
2024,単一リーグ,最高得点賞,1,強欲な壺,うるてぃまうぇぽん,97700,点,P0247
2024,単一リーグ,最高得点賞,2,クピドの悪戯,クレイジーダイヤモンド,79000,点,P0099
2024,単一リーグ,最高得点賞,3,太郎,クレイジーダイヤモンド,78500,点,P0294
2024,単一リーグ,トップ率賞,1,久田賢太,星の砂_StardustCollectors,62.5,%,P0243
2024,単一リーグ,トップ率賞,2,大明槓嶺上開花,クレイジーダイヤモンド,57.1,%,P0297
2024,単一リーグ,トップ率賞,3,溝渕智也,Team MJ lovers,50,%,P0259
2025,Aリーグ,ポイント賞,1,まーくん RMU,SILVER WOLVES,506,pt,P0184
2025,Aリーグ,ポイント賞,2,Mychemi,MJ東京,351.1,pt,P0044
2025,Aリーグ,ポイント賞,3,パイ乙戦士全ツ,さわやかMJ野郎の会,297,pt,P0156
2025,Aリーグ,ラス回避率賞,1,Mychemi,MJ東京,100,%,P0044
2025,Aリーグ,ラス回避率賞,2,まーくん RMU,SILVER WOLVES,100,%,P0184
2025,Aリーグ,ラス回避率賞,3,クピドの悪戯,クレイジーダイヤモンド,100,%,P0099
2025,Aリーグ,最多勝利賞,1,まーくん RMU,SILVER WOLVES,6,勝,P0184
2025,Aリーグ,最多勝利賞,2,Mychemi,MJ東京,6,勝,P0044
2025,Aリーグ,最多勝利賞,3,なおすけ,レッドリボン軍,5,勝,P0150
2025,Aリーグ,最高得点賞,1,太郎,クレイジーダイヤモンド,109800,点,P0294
2025,Aリーグ,最高得点賞,2,まーくん RMU,SILVER WOLVES,104400,点,P0184
2025,Aリーグ,最高得点賞,3,松崎真也,SILVER WOLVES,86400,点,P0276
2025,Aリーグ,トップ率賞,1,ロッキンポ,MJAC愛好会,57.1,%,P0223
2025,Aリーグ,トップ率賞,2,アベキング,武装,57.1,%,P0070
2025,Aリーグ,トップ率賞,3,冬のミルク,MJAC愛好会,57.1,%,P0304
2025,Bリーグ,ポイント賞,1,魔王,電光石火,280.7,pt,P0312
2025,Bリーグ,ポイント賞,2,すー,ＺＯＯ,255.2,pt,P0121
2025,Bリーグ,ポイント賞,3,戯言遣い,ＺＯＯ,239,pt,P0242
2025,Bリーグ,ラス回避率賞,1,桐生れいか,他力本願寺,100,%,P0252
2025,Bリーグ,ラス回避率賞,2,カルア,HIVE,100,%,P0093
2025,Bリーグ,ラス回避率賞,3,羽田暁音,おたまーず,100,%,P0232
2025,Bリーグ,最多勝利賞,1,すー,ＺＯＯ,6,勝,P0121
2025,Bリーグ,最多勝利賞,2,魔王,電光石火,6,勝,P0312
2025,Bリーグ,最多勝利賞,3,女帝ハンコック,サクラフレンズ,6,勝,P0271
2025,Bリーグ,最高得点賞,1,せなmam@,enjoyすればイイ雀！,96300,点,P0124
2025,Bリーグ,最高得点賞,2,坊や哲,たちこまーず,94300,点,P0310
2025,Bリーグ,最高得点賞,3,戯言遣い,ＺＯＯ,88800,点,P0242
2025,Bリーグ,トップ率賞,1,たちこま,たちこまーず,57.1,%,P0134
2025,Bリーグ,トップ率賞,2,すー,ＺＯＯ,50,%,P0121
2025,Bリーグ,トップ率賞,3,JILL,たちこまーず,50,%,P0033
2026,Aリーグ,ポイント賞,1,せいたろう,HIVE,307,pt,P0122
2026,Aリーグ,ポイント賞,2,どっち？弾平,電光石火,279.2,pt,P0143
2026,Aリーグ,ポイント賞,3,まびたん,最強位ズ,262.5,pt,P0187
2026,Aリーグ,ラス回避率賞,1,けっけ,電光石火,100,%,P0102
2026,Aリーグ,ラス回避率賞,2,まびたん,最強位ズ,100,%,P0187
2026,Aリーグ,ラス回避率賞,3,Hiromu,最強位ズ,100,%,P0030
2026,Aリーグ,最多勝利賞,1,魔王,電光石火,6,勝,P0312
2026,Aリーグ,最多勝利賞,2,阿賀寿直,SILVER WOLVES,5,勝,P0228
2026,Aリーグ,最多勝利賞,3,どっち？弾平,電光石火,5,勝,P0143
2026,Aリーグ,最高得点賞,1,戯言遣い,ＺＯＯ,85000,点,P0242
2026,Aリーグ,最高得点賞,2,えんがわ,MJ東京,77100,点,P0078
2026,Aリーグ,最高得点賞,3,ロンリーボーイ,MJAC愛好会,74900,点,P0224
2026,Aリーグ,トップ率賞,1,阿賀寿直,SILVER WOLVES,55.6,%,P0228
2026,Aリーグ,トップ率賞,2,どっち？弾平,電光石火,50,%,P0143
2026,Aリーグ,トップ率賞,3,橋本るり子,SILVER WOLVES,50,%,P0249
2026,Bリーグ,ポイント賞,1,nesre,Brave Revengers,413.3,pt,P0047
2026,Bリーグ,ポイント賞,2,フィーレン,Vertice,325.4,pt,P0164
2026,Bリーグ,ポイント賞,3,dia,チートイズ,253.2,pt,P0023
2026,Bリーグ,ラス回避率賞,1,フィーレン,Vertice,100,%,P0164
2026,Bリーグ,ラス回避率賞,2,喜多剛士@μ,Team MJ lovers,100,%,P0241
2026,Bリーグ,ラス回避率賞,3,小林宏康,Team MJ lovers,100,%,P0275
2026,Bリーグ,最多勝利賞,1,nesre,Brave Revengers,7,勝,P0047
2026,Bリーグ,最多勝利賞,2,Redstar,教室生☆KSC,6,勝,P0051
2026,Bリーグ,最多勝利賞,3,フィーレン,Vertice,6,勝,P0164
2026,Bリーグ,最高得点賞,1,nesre,Brave Revengers,79300,点,P0047
2026,Bリーグ,最高得点賞,2,まんまる,La vie en Rose,77800,点,P0190
2026,Bリーグ,最高得点賞,3,みーやん19,Vertice,74500,点,P0192
2026,Bリーグ,トップ率賞,1,nesre,Brave Revengers,77.8,%,P0047
2026,Bリーグ,トップ率賞,2,★月刃★,さわやかMJ野郎の会,57.1,%,P0006
2026,Bリーグ,トップ率賞,3,Redstar,教室生☆KSC,54.5,%,P0051